name,total_ops,threads,spent,throughput,latency
Papaya,33554432,1,1697026667,19772483.634165544,50
Papaya,33554432,2,1077798958,31132366.33876946,64
Papaya,33554432,3,757266625,44309931.128946826,67
Papaya,33554432,4,578612417,57991206.227432206,68
Papaya,33554432,5,485424709,69123864.8916819,72
Papaya,33554432,6,432107667,77652942.91804363,77
Papaya,33554432,7,378927833,88550982.7408218,79
Papaya,33554432,8,343906458,97568484.74185966,81
Papaya,33554432,9,314456375,106706159.1611873,84
Papaya,33554432,10,294691625,113862862.5771092,87
Papaya Pinned,33554432,1,1423488917,23571965.75208741,42
Papaya Pinned,33554432,2,871352125,38508464.07243226,51
Papaya Pinned,33554432,3,654864125,51238769.56918353,58
Papaya Pinned,33554432,4,487046875,68893639.85755992,58
Papaya Pinned,33554432,5,400113083,83862371.47861521,59
Papaya Pinned,33554432,6,354644667,94614229.74111718,63
Papaya Pinned,33554432,7,300999542,111476687.89476098,62
Papaya Pinned,33554432,8,279565125,120023668.90362307,66
Papaya Pinned,33554432,9,257670500,130222248.95748639,69
Papaya Pinned,33554432,10,249109708,134697408.09940654,74
