name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,4021105792,8344578.266693859,119
std::sync::RwLock<StdHashMap>,33554432,2,6315991620,5312615.028453758,376
std::sync::RwLock<StdHashMap>,33554432,3,7483894522,4483552.233581306,669
std::sync::RwLock<StdHashMap>,33554432,4,7892220254,4251583.321308559,940
std::sync::RwLock<StdHashMap>,33554432,5,8639006567,3884061.4068027255,1287
std::sync::RwLock<StdHashMap>,33554432,6,9230738957,3635075.388471957,1650
std::sync::RwLock<StdHashMap>,33554432,7,9267852282,3620518.646501233,1933
std::sync::RwLock<StdHashMap>,33554432,8,9587661485,3499751.430783854,2285
parking_lot::RwLock<StdHashMap>,33554432,1,3944538428,8506554.724328825,117
parking_lot::RwLock<StdHashMap>,33554432,2,4959130846,6766192.109463046,295
parking_lot::RwLock<StdHashMap>,33554432,3,5572952375,6020943.611598691,498
parking_lot::RwLock<StdHashMap>,33554432,4,5881606253,5704977.612686171,701
parking_lot::RwLock<StdHashMap>,33554432,5,6620186688,5068502.38239082,986
parking_lot::RwLock<StdHashMap>,33554432,6,7168411400,4680874.20317422,1281
parking_lot::RwLock<StdHashMap>,33554432,7,7193695708,4664421.927478059,1500
parking_lot::RwLock<StdHashMap>,33554432,8,7878325184,4259081.875440393,1878
DashMap,33554432,1,4137312001,8110201.017445578,123
DashMap,33554432,2,2247712360,14928258.880953968,133
DashMap,33554432,3,1678770824,19987500.09250816,150
DashMap,33554432,4,1313367191,25548401.261989497,156
DashMap,33554432,5,1139354661,29450383.75544066,169
DashMap,33554432,6,997743329,33630324.578196205,178
DashMap,33554432,7,869325086,38598255.75078366,181
DashMap,33554432,8,820086242,40915735.78672473,195
Flurry,33554432,1,5860010069,5726002.447931971,174
Flurry,33554432,2,3671222662,9139852.05727628,218
Flurry,33554432,3,2742320268,12235781.645034323,245
Flurry,33554432,4,2121458380,15816681.730046479,252
Flurry,33554432,5,1876747493,17879033.87384464,279
Flurry,33554432,6,1762871931,19033958.967720386,315
Flurry,33554432,7,1658893757,20226992.752496086,346
Flurry,33554432,8,1624026100,20661264.00308468,387
Papaya,33554432,1,3912961621,8575200.896405622,116
Papaya,33554432,2,2086644359,16080570.632592402,124
Papaya,33554432,3,1479382652,22681374.5278392,132
Papaya,33554432,4,1371956845,24457352.3739371,163
Papaya,33554432,5,987520628,33978461.865608744,147
Papaya,33554432,6,974921966,34417556.656016506,174
Papaya,33554432,7,775581140,43263599.73116417,161
Papaya,33554432,8,800847792,41898638.33700874,190
Evmap,33554432,1,15972574559,2100752.87963475,476
Evmap,33554432,2,16294651290,2059229.8296430742,971
Evmap,33554432,3,18495147170,1814228.9808013462,1653
Evmap,33554432,4,23568427281,1423702.6340340644,2809
Evmap,33554432,5,25053135521,1339330.638748753,3733
Evmap,33554432,6,26876186332,1248481.8934317545,4805
Evmap,33554432,7,26472532634,1267518.7698854457,5522
Evmap,33554432,8,26650046595,1259075.9224524351,6353
Contrie,33554432,1,13993830297,2397801.8375135935,417
Contrie,33554432,2,7584838601,4423882.137132901,452
Contrie,33554432,3,5349349060,6272619.644678786,478
Contrie,33554432,4,4110844233,8162418.738866382,490
Contrie,33554432,5,3393684918,9887315.060401846,505
Contrie,33554432,6,2868910233,11695880.761285568,513
Contrie,33554432,7,2510882876,13363599.04347844,523
Contrie,33554432,8,2266464818,14804744.257892115,540
SccMap,33554432,1,3782644578,8870627.76004751,112
SccMap,33554432,2,1946920149,17234621.57255634,116
SccMap,33554432,3,1366823221,24549211.254584033,122
SccMap,33554432,4,1024720090,32744973.312663365,122
SccMap,33554432,5,871892334,38484604.91223908,129
SccMap,33554432,6,751601907,44643888.855912656,134
SccMap,33554432,7,662651169,50636644.99473629,138
SccMap,33554432,8,623658592,53802565.10600595,148
