name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,4016624005,8353889.2259346545,119
std::sync::RwLock<StdHashMap>,33554432,2,6412007719,5233061.697753705,382
std::sync::RwLock<StdHashMap>,33554432,3,7372581485,4551246.0009114435,659
std::sync::RwLock<StdHashMap>,33554432,4,7653945886,4383939.016524163,912
std::sync::RwLock<StdHashMap>,33554432,5,8553434038,3922919.3620865094,1274
std::sync::RwLock<StdHashMap>,33554432,6,9256335936,3625023.144363113,1655
std::sync::RwLock<StdHashMap>,33554432,7,9702062384,3458484.461544563,2024
std::sync::RwLock<StdHashMap>,33554432,8,9678195493,3467013.2489335528,2307
parking_lot::RwLock<StdHashMap>,33554432,1,3606762232,9303200.444514358,107
parking_lot::RwLock<StdHashMap>,33554432,2,4510544176,7439109.493381891,268
parking_lot::RwLock<StdHashMap>,33554432,3,4745828361,7070300.366473788,424
parking_lot::RwLock<StdHashMap>,33554432,4,5573166610,6020712.163851853,664
parking_lot::RwLock<StdHashMap>,33554432,5,5974225658,5616532.404507979,890
parking_lot::RwLock<StdHashMap>,33554432,6,6507201878,5156506.994725822,1163
parking_lot::RwLock<StdHashMap>,33554432,7,6758469515,4964797.418339765,1409
parking_lot::RwLock<StdHashMap>,33554432,8,7534469271,4453456.612949533,1796
DashMap,33554432,1,3904064313,8594743.659388073,116
DashMap,33554432,2,1979792356,16948460.225290414,118
DashMap,33554432,3,1465891243,22890123.779803492,131
DashMap,33554432,4,1155948386,29027621.3076524,137
DashMap,33554432,5,1030941204,32547376.969521146,153
DashMap,33554432,6,923508248,36333657.087164424,165
DashMap,33554432,7,824037794,40719530.395713866,171
DashMap,33554432,8,794090512,42255173.04757823,189
Flurry,33554432,1,5742608124,5843064.906303886,171
Flurry,33554432,2,3197640387,10493497.68548567,190
Flurry,33554432,3,2459557581,13642466.539188538,219
Flurry,33554432,4,1985481525,16899896.361412883,236
Flurry,33554432,5,1703505097,19697288.877557144,253
Flurry,33554432,6,1491260471,22500718.45430147,266
Flurry,33554432,7,1352300060,24812859.950623676,282
Flurry,33554432,8,1280671971,26200645.25484957,305
Papaya,33554432,1,3849739328,8716027.019271472,114
Papaya,33554432,2,1972041509,17015073.895181384,117
Papaya,33554432,3,1433906177,23400716.544929147,128
Papaya,33554432,4,1117836322,30017303.374044415,133
Papaya,33554432,5,970731211,34566141.090110675,144
Papaya,33554432,6,843101998,39798781.262050815,150
Papaya,33554432,7,779654480,43037567.10280174,162
Papaya,33554432,8,818141040,41013016.53318846,195
Evmap,33554432,1,15643258063,2144977.207744476,466
Evmap,33554432,2,16513244025,2031970.940973241,984
Evmap,33554432,3,19546020695,1716688.6561510419,1747
Evmap,33554432,4,22641590495,1481982.107547167,2699
Evmap,33554432,5,25270971644,1327785.5902294407,3765
Evmap,33554432,6,25686259917,1306318.3238207672,4593
Evmap,33554432,7,25548848172,1313344.217089741,5329
Evmap,33554432,8,25894572698,1295809.449776772,6173
Contrie,33554432,1,13955395405,2404405.681545789,415
Contrie,33554432,2,7670731546,4374345.75813012,457
Contrie,33554432,3,5276628864,6359066.150914342,471
Contrie,33554432,4,4055709893,8273380.711454156,483
Contrie,33554432,5,3414478033,9827104.37018647,508
Contrie,33554432,6,2902196016,11561738.70235235,518
Contrie,33554432,7,2509902570,13368818.535454147,523
Contrie,33554432,8,2262856867,14828349.282420611,539
SccMap,33554432,1,3757243507,8930598.17323147,111
SccMap,33554432,2,1894890497,17707847.52634706,112
SccMap,33554432,3,1329976154,25229348.585749153,118
SccMap,33554432,4,1157387304,28991532.811906498,137
SccMap,33554432,5,981497747,34186967.92994268,146
SccMap,33554432,6,839825545,39954050.21884634,150
SccMap,33554432,7,739617293,45367289.70181069,154
SccMap,33554432,8,617807509,54312114.22844651,147
