name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,14437693128,2324085.413266307,430
std:sync::RwLock<BTreeMap>,33554432,2,18864030165,1778752.0326518733,1124
std:sync::RwLock<BTreeMap>,33554432,3,18161162889,1847592.7012539224,1623
std:sync::RwLock<BTreeMap>,33554432,4,17724267805,1893135.0151758778,2112
std:sync::RwLock<BTreeMap>,33554432,5,17988800208,1865295.7180033403,2680
std:sync::RwLock<BTreeMap>,33554432,6,18127187107,1851055.6437651934,3241
std:sync::RwLock<BTreeMap>,33554432,7,18050508672,1858918.9152353213,3765
std:sync::RwLock<BTreeMap>,33554432,8,18002860315,1863838.9351964486,4292
parking_lot::RwLock<BTreeMap>,33554432,1,14457859245,2320843.7315229927,430
parking_lot::RwLock<BTreeMap>,33554432,2,18875570534,1777664.518249099,1125
parking_lot::RwLock<BTreeMap>,33554432,3,21085597036,1591343.699811375,1885
parking_lot::RwLock<BTreeMap>,33554432,4,22972208817,1460653.2731484182,2738
parking_lot::RwLock<BTreeMap>,33554432,5,25195619900,1331756.5566227643,3754
parking_lot::RwLock<BTreeMap>,33554432,6,26765781462,1253631.6956647802,4786
parking_lot::RwLock<BTreeMap>,33554432,7,29353178774,1143127.7088708812,6123
parking_lot::RwLock<BTreeMap>,33554432,8,30813324707,1088958.504772362,7346
CHashMap,33554432,1,4572733843,7337936.812431267,136
CHashMap,33554432,2,3656126436,9177590.706275016,217
CHashMap,33554432,3,4043290980,8298792.287266943,361
CHashMap,33554432,4,4188857706,8010401.487722438,499
CHashMap,33554432,5,4257046702,7882091.588103982,634
CHashMap,33554432,6,4296393415,7809906.765719219,768
CHashMap,33554432,7,4476054646,7496430.373115691,933
CHashMap,33554432,8,4550680083,7373498.331677824,1084
CrossbeamSkipMap,33554432,1,62271778907,538838.5009863293,1855
CrossbeamSkipMap,33554432,2,31809783757,1054846.27799823,1896
CrossbeamSkipMap,33554432,3,21896875521,1532384.4704610906,1957
CrossbeamSkipMap,33554432,4,16573062273,2024636.8140826449,1975
CrossbeamSkipMap,33554432,5,13741166363,2441891.111248749,2047
CrossbeamSkipMap,33554432,6,11829038540,2836615.3247819245,2115
CrossbeamSkipMap,33554432,7,10476440373,3202846.6545256022,2185
CrossbeamSkipMap,33554432,8,9573511606,3504924.1470570164,2282
