name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,4842529496,6929112.569725481,144
std::sync::RwLock<StdHashMap>,33554432,2,7381244263,4545904.566280033,439
std::sync::RwLock<StdHashMap>,33554432,3,9731731921,3447940.4357196945,870
std::sync::RwLock<StdHashMap>,33554432,4,9649063990,3477480.513630628,1150
std::sync::RwLock<StdHashMap>,33554432,5,10558628518,3177915.7627145904,1573
std::sync::RwLock<StdHashMap>,33554432,6,10699344822,3136120.253924834,1913
std::sync::RwLock<StdHashMap>,33554432,7,11562444007,2902018.983156664,2412
std::sync::RwLock<StdHashMap>,33554432,8,10829721327,3098365.229061263,2582
parking_lot::RwLock<StdHashMap>,33554432,1,4775122150,7026926.421138777,142
parking_lot::RwLock<StdHashMap>,33554432,2,6127635404,5475918.488573313,365
parking_lot::RwLock<StdHashMap>,33554432,3,6632061529,5059427.125830576,592
parking_lot::RwLock<StdHashMap>,33554432,4,7679016720,4369626.115360249,915
parking_lot::RwLock<StdHashMap>,33554432,5,8349330024,4018817.306723819,1244
parking_lot::RwLock<StdHashMap>,33554432,6,9064433173,3701768.368699297,1620
parking_lot::RwLock<StdHashMap>,33554432,7,9454261012,3549133.2381674675,1972
parking_lot::RwLock<StdHashMap>,33554432,8,10253998199,3272326.6913848617,2444
DashMap,33554432,1,4888231671,6864329.32364183,145
DashMap,33554432,2,2678178670,12528825.046612741,159
DashMap,33554432,3,1967370649,17055470.466155156,175
DashMap,33554432,4,1568915422,21387024.13749363,187
DashMap,33554432,5,1320034324,25419363.26195106,196
DashMap,33554432,6,1167449918,28741645.77225145,208
DashMap,33554432,7,1032555292,32496498.986516256,215
DashMap,33554432,8,961657490,34892289.97738062,229
Flurry,33554432,1,6263990931,5356717.844839421,186
Flurry,33554432,2,3812649132,8800818.23380332,227
Flurry,33554432,3,2825175340,11876937.875296619,252
Flurry,33554432,4,2252295294,14897883.101468666,268
Flurry,33554432,5,1961047351,17110464.968063895,292
Flurry,33554432,6,1699852718,19739611.34672845,303
Flurry,33554432,7,1634056846,20534433.720673632,340
Flurry,33554432,8,1533674399,21878458.701454792,365
Papaya,33554432,1,4937988023,6795162.694545077,147
Papaya,33554432,2,2566744052,13072761.179228012,152
Papaya,33554432,3,1800103347,18640280.879384425,160
Papaya,33554432,4,1419074349,23645295.275504977,169
Papaya,33554432,5,1166898179,28755235.54999052,173
Papaya,33554432,6,1015434439,33044410.068506647,181
Papaya,33554432,7,930517186,36059980.949132085,194
Papaya,33554432,8,834803974,40194384.60411546,199
Evmap,33554432,1,16148331928,2077888.4252322756,481
Evmap,33554432,2,18211252540,1842510.9380203015,1085
Evmap,33554432,3,21098279805,1590387.098385531,1886
Evmap,33554432,4,26139415945,1283671.8337778454,3116
Evmap,33554432,5,27425287618,1223485.145073821,4086
Evmap,33554432,6,28529020657,1176150.8536665083,5101
Evmap,33554432,7,28291769395,1186013.9085514415,5902
Evmap,33554432,8,28394876448,1181707.272488006,6769
Contrie,33554432,1,14628064149,2293839.544195179,435
Contrie,33554432,2,7913450405,4240177.202450035,471
Contrie,33554432,3,5654498452,5934112.8633843325,505
Contrie,33554432,4,4295878475,7810842.926603039,512
Contrie,33554432,5,3556209214,9435449.373423731,529
Contrie,33554432,6,3004675489,11167406.304887656,537
Contrie,33554432,7,2621469543,12799855.74869599,546
Contrie,33554432,8,2336008489,14364002.59588269,556
SccMap,33554432,1,5291124650,6341644.58779099,157
SccMap,33554432,2,2658328926,12622377.792235631,158
SccMap,33554432,3,1862498324,18015818.627925914,166
SccMap,33554432,4,1412189730,23760569.33936207,168
SccMap,33554432,5,1169453629,28692400.594534393,174
SccMap,33554432,6,1005683587,33364800.25501301,179
SccMap,33554432,7,860967412,38972940.82484971,179
SccMap,33554432,8,776353499,43220558.73158369,185
