name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,3909581176,8582615.50009059,116
std::sync::RwLock<StdHashMap>,33554432,2,6545803503,5126098.268092176,390
std::sync::RwLock<StdHashMap>,33554432,3,6108599130,5492983.135071101,546
std::sync::RwLock<StdHashMap>,33554432,4,7108971778,4720011.9859584,847
std::sync::RwLock<StdHashMap>,33554432,5,8565728657,3917288.6912053865,1276
std::sync::RwLock<StdHashMap>,33554432,6,8254862937,4064807.890340869,1476
std::sync::RwLock<StdHashMap>,33554432,7,8720609452,3847716.399259752,1819
std::sync::RwLock<StdHashMap>,33554432,8,8881420057,3778048.0806730525,2117
parking_lot::RwLock<StdHashMap>,33554432,1,3780469025,8875732.555433383,112
parking_lot::RwLock<StdHashMap>,33554432,2,4104252402,8175528.382135792,244
parking_lot::RwLock<StdHashMap>,33554432,3,4604529995,7287265.3748452775,411
parking_lot::RwLock<StdHashMap>,33554432,4,5235457792,6409073.157131089,624
parking_lot::RwLock<StdHashMap>,33554432,5,5846013691,5739711.49805164,871
parking_lot::RwLock<StdHashMap>,33554432,6,6218087901,5396262.0879971385,1111
parking_lot::RwLock<StdHashMap>,33554432,7,6765022275,4959988.398560003,1411
parking_lot::RwLock<StdHashMap>,33554432,8,7353628188,4562976.416832675,1753
DashMap,33554432,1,3886519323,8633543.078360246,115
DashMap,33554432,2,2254746252,14881688.779939927,134
DashMap,33554432,3,1580051407,21236291.332893323,141
DashMap,33554432,4,1283947885,26133795.92116389,153
DashMap,33554432,5,1080843371,31044675.759962633,161
DashMap,33554432,6,951516666,35264155.84611526,170
DashMap,33554432,7,857608502,39125582.26947241,178
DashMap,33554432,8,806072613,41627058.72752434,192
Flurry,33554432,1,6769528634,4956686.619430584,201
Flurry,33554432,2,3920625222,8558439.049903149,233
Flurry,33554432,3,2829928553,11856989.09763253,253
Flurry,33554432,4,2315191251,14493157.740427209,275
Flurry,33554432,5,2129717078,15755347.199220797,317
Flurry,33554432,6,1859700339,18042924.06487538,332
Flurry,33554432,7,1736845625,19319179.27363291,362
Flurry,33554432,8,1691090431,19841890.998199373,403
Papaya,33554432,1,3981549228,8427481.384389404,118
Papaya,33554432,2,2164407790,15502823.52291848,129
Papaya,33554432,3,1462411166,22944595.04967976,130
Papaya,33554432,4,1124416660,29841635.39519238,134
Papaya,33554432,5,926720758,36207705.190952465,138
Papaya,33554432,6,801070302,41887000.324723065,143
Papaya,33554432,7,707616366,47418959.78137962,147
Papaya,33554432,8,673851395,49795002.6503989,160
Evmap,33554432,1,18528156758,1810996.7676904516,552
Evmap,33554432,2,21501081941,1560592.722360436,1281
Evmap,33554432,3,24114450219,1391465.7682538477,2155
Evmap,33554432,4,27721500322,1210411.8323412293,3304
Evmap,33554432,5,28938984554,1159488.921851684,4312
Evmap,33554432,6,29792724806,1126262.6100329845,5327
Evmap,33554432,7,30006951037,1118221.9732563228,6259
Evmap,33554432,8,30612452501,1096104.0118854868,7298
Contrie,33554432,1,12520461939,2679967.5733593553,373
Contrie,33554432,2,6097194533,5503257.575003143,363
Contrie,33554432,3,3848821176,8718106.263090255,344
Contrie,33554432,4,3172112359,10577945.609271528,378
Contrie,33554432,5,2592699613,12941889.539287714,386
Contrie,33554432,6,2012813717,16670411.035359614,359
Contrie,33554432,7,1795091618,18692322.81157028,374
Contrie,33554432,8,1653294796,20295492.419852752,394
SccMap,33554432,1,3714658552,9032978.813606985,110
SccMap,33554432,2,1894374961,17712666.54743332,112
SccMap,33554432,3,1340898200,25023847.44792707,119
SccMap,33554432,4,1256956470,26694983.319509864,149
SccMap,33554432,5,866388022,38729104.221156925,129
SccMap,33554432,6,744025274,45098510.99493698,133
SccMap,33554432,7,673887574,49792329.30625309,140
SccMap,33554432,8,644255101,52082524.37259321,153
