name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,3935686566,8525687.052895257,117
std::sync::RwLock<StdHashMap>,33554432,2,6098759474,5501845.4397239275,363
std::sync::RwLock<StdHashMap>,33554432,3,6595816005,5087229.840032508,589
std::sync::RwLock<StdHashMap>,33554432,4,7068429025,4747084.802199028,842
std::sync::RwLock<StdHashMap>,33554432,5,7358974857,4559661.182709759,1096
std::sync::RwLock<StdHashMap>,33554432,6,7587561712,4422294.443672526,1356
std::sync::RwLock<StdHashMap>,33554432,7,7691932036,4362289.193788711,1604
std::sync::RwLock<StdHashMap>,33554432,8,7829505756,4285638.588909162,1866
parking_lot::RwLock<StdHashMap>,33554432,1,3750852460,8945814.946824115,111
parking_lot::RwLock<StdHashMap>,33554432,2,4659864330,7200731.528593667,277
parking_lot::RwLock<StdHashMap>,33554432,3,5185724076,6470539.409393752,463
parking_lot::RwLock<StdHashMap>,33554432,4,5915324896,5672457.995111956,705
parking_lot::RwLock<StdHashMap>,33554432,5,6298448923,5327411.940655664,938
parking_lot::RwLock<StdHashMap>,33554432,6,6647778619,5047465.314819323,1188
parking_lot::RwLock<StdHashMap>,33554432,7,7057098126,4754706.736523561,1472
parking_lot::RwLock<StdHashMap>,33554432,8,7779439535,4313219.718340545,1854
DashMap,33554432,1,3790342100,8852613.066245392,112
DashMap,33554432,2,2164858791,15499593.848567097,129
DashMap,33554432,3,1532765797,21891427.943965267,137
DashMap,33554432,4,1236996482,27125729.529762723,147
DashMap,33554432,5,1085675714,30906495.89680331,161
DashMap,33554432,6,958191245,35018512.40563151,171
DashMap,33554432,7,860709789,38984605.99476231,179
DashMap,33554432,8,814495027,41196607.57609512,194
Flurry,33554432,1,6801145707,4933644.042571312,202
Flurry,33554432,2,3534357537,9493785.404767327,210
Flurry,33554432,3,2794461744,12007475.884057049,249
Flurry,33554432,4,2262949362,14827743.193663208,269
Flurry,33554432,5,2113607363,15875432.962333035,314
Flurry,33554432,6,1805139115,18588280.38303297,322
Flurry,33554432,7,1723078837,19473532.655314017,359
Flurry,33554432,8,1701711477,19718050.006428912,405
Papaya,33554432,1,4012752171,8361949.74673406,119
Papaya,33554432,2,2065455098,16245539.316004049,123
Papaya,33554432,3,1414521358,23721403.57600737,126
Papaya,33554432,4,1114487728,30107493.47614171,132
Papaya,33554432,5,917042948,36589815.20241733,136
Papaya,33554432,6,852432139,39363170.93741112,152
Papaya,33554432,7,728091321,46085471.74263048,151
Papaya,33554432,8,773412440,43384913.74666795,184
Evmap,33554432,1,18058380283,1858108.616285362,538
Evmap,33554432,2,20820782517,1611583.617119245,1241
Evmap,33554432,3,23346636410,1437227.6764299856,2087
Evmap,33554432,4,26044843074,1288333.0456115,3104
Evmap,33554432,5,28016351289,1197673.1607150573,4174
Evmap,33554432,6,28442482860,1179729.356440579,5085
Evmap,33554432,7,28626979864,1172126.1606851006,5972
Evmap,33554432,8,29254868883,1146969.1467152147,6974
Contrie,33554432,1,12380741110,2710211.909115673,368
Contrie,33554432,2,6239798752,5377486.251338639,371
Contrie,33554432,3,4367101141,7683456.580608651,390
Contrie,33554432,4,2924481601,11473634.160846272,348
Contrie,33554432,5,2569427669,13059107.444366826,382
Contrie,33554432,6,2207311495,15201493.797321977,394
Contrie,33554432,7,1789730931,18748310.943730347,373
Contrie,33554432,8,1736529433,19322696.96231518,414
SccMap,33554432,1,3666009345,9152849.554451969,109
SccMap,33554432,2,1867359261,17968921.514348064,111
SccMap,33554432,3,1306318354,25686259.323582925,116
SccMap,33554432,4,1018439310,32946913.645742916,121
SccMap,33554432,5,848901942,39526864.45851009,126
SccMap,33554432,6,736289254,45572350.56427973,131
SccMap,33554432,7,672437052,49899736.934781514,140
SccMap,33554432,8,644142999,52091588.43935522,153
