name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,3922208782,8554983.649516493,116
std::sync::RwLock<StdHashMap>,33554432,2,5662641778,5925579.140528143,337
std::sync::RwLock<StdHashMap>,33554432,3,5952130749,5637381.538642676,532
std::sync::RwLock<StdHashMap>,33554432,4,6680505966,5022738.1235452965,796
std::sync::RwLock<StdHashMap>,33554432,5,7308533116,4591130.869550541,1089
std::sync::RwLock<StdHashMap>,33554432,6,7652780089,4384606.850029661,1368
std::sync::RwLock<StdHashMap>,33554432,7,7810414020,4296114.381910833,1629
std::sync::RwLock<StdHashMap>,33554432,8,8048396175,4169083.040945111,1918
parking_lot::RwLock<StdHashMap>,33554432,1,3687174880,9100309.340358708,109
parking_lot::RwLock<StdHashMap>,33554432,2,4826309418,6952399.668959641,287
parking_lot::RwLock<StdHashMap>,33554432,3,5213794999,6435702.210469668,466
parking_lot::RwLock<StdHashMap>,33554432,4,5914425806,5673320.302024937,705
parking_lot::RwLock<StdHashMap>,33554432,5,6185734833,5424485.999786471,921
parking_lot::RwLock<StdHashMap>,33554432,6,6732869712,4983674.634338446,1203
parking_lot::RwLock<StdHashMap>,33554432,7,7039282922,4766740.074494196,1468
parking_lot::RwLock<StdHashMap>,33554432,8,7604970794,4412171.053500038,1813
DashMap,33554432,1,3773705055,8891641.373917602,112
DashMap,33554432,2,2115664342,15859997.889967745,126
DashMap,33554432,3,1524592990,22008780.19254175,136
DashMap,33554432,4,1240270045,27054134.005147245,147
DashMap,33554432,5,1070140760,31355157.428075165,159
DashMap,33554432,6,938982677,35734878.63184509,167
DashMap,33554432,7,840290422,39931946.290826574,175
DashMap,33554432,8,799497926,41969379.66790923,190
Flurry,33554432,1,7056711841,4754967.009570428,210
Flurry,33554432,2,3780518951,8875615.341413481,225
Flurry,33554432,3,2692446787,12462430.887032421,240
Flurry,33554432,4,2225433116,15077708.585693572,265
Flurry,33554432,5,1780670418,18843707.213200863,265
Flurry,33554432,6,1604847634,20908173.01849853,286
Flurry,33554432,7,1492632048,22480042.58314036,311
Flurry,33554432,8,1466451720,22881375.18772183,349
Papaya,33554432,1,4108186074,8167700.146875091,122
Papaya,33554432,2,2070597769,16205190.840230254,123
Papaya,33554432,3,1419024787,23646121.130088475,126
Papaya,33554432,4,1210248853,27725233.46485667,144
Papaya,33554432,5,920607821,36448128.32846876,137
Papaya,33554432,6,846976664,39616713.690236926,151
Papaya,33554432,7,705163888,47583877.40921867,147
Papaya,33554432,8,701162820,47855406.82262645,167
Evmap,33554432,1,17128793745,1958948.9195521865,510
Evmap,33554432,2,21150612609,1586452.0153767052,1260
Evmap,33554432,3,23860084797,1406299.7799663688,2133
Evmap,33554432,4,26601210929,1261387.3890763284,3171
Evmap,33554432,5,27998432253,1198439.6732215134,4172
Evmap,33554432,6,27511364185,1219657.1487463661,4919
Evmap,33554432,7,28427848831,1180336.6550693617,5930
Evmap,33554432,8,29325293004,1144214.7226090168,6991
Contrie,33554432,1,12270268571,2734612.678267187,365
Contrie,33554432,2,6106067913,5495260.203143436,363
Contrie,33554432,3,4151985494,8081538.832081479,371
Contrie,33554432,4,3204050427,10472504.339270813,381
Contrie,33554432,5,2516080554,13335992.739443906,374
Contrie,33554432,6,2150822179,15600746.694736404,384
Contrie,33554432,7,1904696677,17616680.075722106,397
Contrie,33554432,8,1563210144,21465080.769076686,372
SccMap,33554432,1,3600048159,9320550.869886294,107
SccMap,33554432,2,1881901055,17830072.36796517,112
SccMap,33554432,3,1294851074,25913738.401085038,115
SccMap,33554432,4,1033631811,32462654.151034057,123
SccMap,33554432,5,861392290,38953717.59131952,128
SccMap,33554432,6,742363551,45199460.49991348,132
SccMap,33554432,7,690305085,48608119.40853659,144
SccMap,33554432,8,694001850,48349196.76366857,165
