name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,12438382055,2697652.4640929275,370
std:sync::RwLock<BTreeMap>,33554432,2,16304864838,2057939.9052605627,971
std:sync::RwLock<BTreeMap>,33554432,3,16081585194,2086512.7159553324,1437
std:sync::RwLock<BTreeMap>,33554432,4,15855242053,2116298.943140455,1890
std:sync::RwLock<BTreeMap>,33554432,5,16059958001,2089322.5248727724,2393
std:sync::RwLock<BTreeMap>,33554432,6,16233933874,2066931.66674408,2902
std:sync::RwLock<BTreeMap>,33554432,7,16230975757,2067308.3677996895,3386
std:sync::RwLock<BTreeMap>,33554432,8,16210821230,2069878.602936145,3864
parking_lot::RwLock<BTreeMap>,33554432,1,12391712810,2707812.270545996,369
parking_lot::RwLock<BTreeMap>,33554432,2,16505823609,2032884.4409620396,983
parking_lot::RwLock<BTreeMap>,33554432,3,18257461263,1837847.6348187774,1632
parking_lot::RwLock<BTreeMap>,33554432,4,19911098590,1685212.488318054,2373
parking_lot::RwLock<BTreeMap>,33554432,5,22811440775,1470947.5096712736,3399
parking_lot::RwLock<BTreeMap>,33554432,6,24127601413,1390707.3241818727,4314
parking_lot::RwLock<BTreeMap>,33554432,7,26369778719,1272457.8525121752,5501
parking_lot::RwLock<BTreeMap>,33554432,8,27895620920,1202856.6095097337,6650
CHashMap,33554432,1,4516821233,7428771.312632554,134
CHashMap,33554432,2,3488334588,9619040.591871114,207
CHashMap,33554432,3,3684162079,9107751.309656754,329
CHashMap,33554432,4,3950013638,8494763.58187703,470
CHashMap,33554432,5,4001500988,8385461.380773249,596
CHashMap,33554432,6,4137310624,8110203.716722431,739
CHashMap,33554432,7,4329012687,7751058.827053976,903
CHashMap,33554432,8,4378112086,7664132.699411205,1043
CrossbeamSkipMap,33554432,1,56624088888,592582.2853656721,1687
CrossbeamSkipMap,33554432,2,28460067073,1179000.4540021978,1696
CrossbeamSkipMap,33554432,3,19652311458,1707403.8375440447,1757
CrossbeamSkipMap,33554432,4,14842566699,2260689.318799604,1769
CrossbeamSkipMap,33554432,5,12359748323,2714815.1502048997,1841
CrossbeamSkipMap,33554432,6,10669181170,3144986.617562517,1907
CrossbeamSkipMap,33554432,7,9324511982,3598518.8355994755,1945
CrossbeamSkipMap,33554432,8,8443429848,3974028.635762049,2013
