name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,4425833038,7581495.215003182,131
std::sync::RwLock<StdHashMap>,33554432,2,7323137150,4581975.08973323,436
std::sync::RwLock<StdHashMap>,33554432,3,8258508447,4063013.583547164,738
std::sync::RwLock<StdHashMap>,33554432,4,8511393995,3942295.706168869,1014
std::sync::RwLock<StdHashMap>,33554432,5,9527587521,3521818.2909411034,1419
std::sync::RwLock<StdHashMap>,33554432,6,10071945892,3331474.6087597427,1801
std::sync::RwLock<StdHashMap>,33554432,7,10008375443,3352635.2194819436,2087
std::sync::RwLock<StdHashMap>,33554432,8,10102288867,3321468.277313714,2408
parking_lot::RwLock<StdHashMap>,33554432,1,4161328576,8063394.030820219,124
parking_lot::RwLock<StdHashMap>,33554432,2,5250380909,6390856.698126852,312
parking_lot::RwLock<StdHashMap>,33554432,3,5774628595,5810664.954115546,516
parking_lot::RwLock<StdHashMap>,33554432,4,6640475987,5053016.088860077,791
parking_lot::RwLock<StdHashMap>,33554432,5,7378478794,4547608.3806442125,1099
parking_lot::RwLock<StdHashMap>,33554432,6,7768236931,4319439.82888799,1389
parking_lot::RwLock<StdHashMap>,33554432,7,8270027574,4057354.307438008,1725
parking_lot::RwLock<StdHashMap>,33554432,8,9040066401,3711746.187648384,2155
DashMap,33554432,1,4302438234,7798934.040432293,128
DashMap,33554432,2,2361942167,14206288.565743702,140
DashMap,33554432,3,1706844156,19658755.535499517,152
DashMap,33554432,4,1367059330,24544971.285189208,162
DashMap,33554432,5,1187027824,28267603.607579798,176
DashMap,33554432,6,1026305009,32694405.372428615,183
DashMap,33554432,7,934466243,35907591.36710731,194
DashMap,33554432,8,862981088,38882001.54856696,205
Flurry,33554432,1,7337548048,4572976.119610685,218
Flurry,33554432,2,4018293264,8350418.895657785,239
Flurry,33554432,3,2781790286,12062171.6773081,248
Flurry,33554432,4,2307137185,14543752.412364677,275
Flurry,33554432,5,2010528265,16689360.992395697,299
Flurry,33554432,6,1796114033,18681682.445270445,321
Flurry,33554432,7,1766629792,18993471.157311942,368
Flurry,33554432,8,1602632855,20937067.335986946,382
Papaya,33554432,1,4720806820,7107774.852774001,140
Papaya,33554432,2,2407904364,13935118.230468059,143
Papaya,33554432,3,1687221918,19887385.080781057,150
Papaya,33554432,4,1297465920,25861513.187182594,154
Papaya,33554432,5,1066260974,31469248.91579123,158
Papaya,33554432,6,913472238,36732842.667956375,163
Papaya,33554432,7,796281916,42138884.892119035,166
Papaya,33554432,8,730368158,45941805.69410859,174
Evmap,33554432,1,17692458264,1896538.7115410296,527
Evmap,33554432,2,20680886444,1622485.191379933,1232
Evmap,33554432,3,23799371878,1409887.2933288428,2127
Evmap,33554432,4,27455685780,1222130.536780932,3272
Evmap,33554432,5,28722175908,1168241.2957666647,4279
Evmap,33554432,6,28597772013,1173323.2919245176,5113
Evmap,33554432,7,29305409899,1144991.0482618771,6113
Evmap,33554432,8,30239629429,1109617.8304295316,7209
Contrie,33554432,1,12795859020,2622288.347156235,381
Contrie,33554432,2,6136947568,5467609.365764097,365
Contrie,33554432,3,4437401971,7561729.187324057,396
Contrie,33554432,4,3380538927,9925764.123585258,402
Contrie,33554432,5,2598592682,12912540.019228762,387
Contrie,33554432,6,2120529610,15823609.272779737,379
Contrie,33554432,7,1981212615,16936310.492854398,413
Contrie,33554432,8,1717980074,19531327.81212921,409
SccMap,33554432,1,4522879647,7418820.446008653,134
SccMap,33554432,2,2303909141,14564129.896822177,137
SccMap,33554432,3,1597508818,21004223.339441996,142
SccMap,33554432,4,1215344436,27608989.687265906,144
SccMap,33554432,5,1001199249,33514240.08109699,149
SccMap,33554432,6,866405531,38728321.553155,154
SccMap,33554432,7,768624404,43655173.873454064,160
SccMap,33554432,8,704306693,47641790.61975774,167
