name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,755077667,44438384.90590664,22
DashMap,33554432,2,436332833,76901001.8551595,26
DashMap,33554432,3,372654083,90041766.69654253,33
DashMap,33554432,4,309326875,108475644.09009078,36
DashMap,33554432,5,289625834,115854416.49518046,43
DashMap,33554432,6,385813916,86970507.30539228,68
DashMap,33554432,7,453151333,74046857.10148844,94
DashMap,33554432,8,441668625,75971962.01111184,105
DashMap,33554432,9,415126500,80829414.648306,111
DashMap,33554432,10,395778833,84780764.41243133,117
Papaya,33554432,1,943540541,35562257.83837305,28
Papaya,33554432,2,468308916,71650209.62359811,27
Papaya,33554432,3,338322708,99178775.78586891,30
Papaya,33554432,4,253707375,132256431.25273752,30
Papaya,33554432,5,205661750,163153488.67740354,30
Papaya,33554432,6,171497666,195655327.46084136,30
Papaya,33554432,7,147911792,226854340.32196704,30
Papaya,33554432,8,127404542,263369197.6224835,30
Papaya,33554432,9,115295792,291029112.320075,30
Papaya,33554432,10,110442041,303819376.1739698,32
