name,total_ops,threads,spent,throughput,latency
DashMap 7.0.0-rc2,33554432,1,749670625,44758899.28326856,22
DashMap 7.0.0-rc2,33554432,2,445870791,75255954.58887102,26
DashMap 7.0.0-rc2,33554432,4,333505583,100611305.20864473,39
DashMap 7.0.0-rc2,33554432,6,379399042,88441003.4962608,67
DashMap 7.0.0-rc2,33554432,8,437370041,76718633.77583286,104
DashMap 7.0.0-rc2,33554432,10,401653875,83540665.45480235,119
DashMap 7.0.0-rc2,33554432,12,387649417,86558706.21366109,138
DashMap 7.0.0-rc2,33554432,14,373620250,89808922.2947632,155
Papaya,33554432,1,766077292,43800321.91320977,22
Papaya,33554432,2,393471500,85277922.289162,23
Papaya,33554432,4,209633458,160062388.51433724,24
Papaya,33554432,6,143656250,233574466.82619098,25
Papaya,33554432,8,108705250,308673518.52831393,25
Papaya,33554432,10,89191375,376207138.86292255,26
Papaya,33554432,12,107861084,311089326.7121254,38
Papaya,33554432,14,99655708,336703563.43261343,41
Papaya refresh-every-4,33554432,1,656345500,51123123.4159448,19
Papaya refresh-every-4,33554432,2,333361042,100654928.95837541,19
Papaya refresh-every-4,33554432,4,179274333,187168076.09040162,21
Papaya refresh-every-4,33554432,6,121806083,275474189.57721514,21
Papaya refresh-every-4,33554432,8,90349250,371385838.842049,21
Papaya refresh-every-4,33554432,10,77389583,433578147.07439375,23
Papaya refresh-every-4,33554432,12,90824084,369444210.41449755,32
Papaya refresh-every-4,33554432,14,82152333,408441620.27632254,34
SccMap,33554432,1,1728479584,19412686.334627833,51
SccMap,33554432,2,861564375,38945937.15066271,51
SccMap,33554432,4,452514375,74151085.25557889,53
SccMap,33554432,6,326787667,102679615.50703198,58
SccMap,33554432,8,229901250,145951498.7413074,54
SccMap,33554432,10,191369666,175338300.4807042,57
SccMap,33554432,12,196924916,170392008.69838127,70
SccMap,33554432,14,163450875,205287564.22992536,68
