name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,1745594528,19222351.732761618,52
std::sync::RwLock<StdHashMap>,33554432,2,2550930367,13153801.62237098,152
std::sync::RwLock<StdHashMap>,33554432,3,2763306871,12142854.039174138,247
std::sync::RwLock<StdHashMap>,33554432,4,2728502840,12297744.942057675,325
std::sync::RwLock<StdHashMap>,33554432,5,3271218168,10257472.989187678,487
std::sync::RwLock<StdHashMap>,33554432,6,3185170351,10534580.038855825,569
std::sync::RwLock<StdHashMap>,33554432,7,3217621957,10428332.615956226,671
std::sync::RwLock<StdHashMap>,33554432,8,4240325384,7913173.863168798,1010
parking_lot::RwLock<StdHashMap>,33554432,1,1621369595,20695116.094119184,48
parking_lot::RwLock<StdHashMap>,33554432,2,1871876362,17925559.97883796,111
parking_lot::RwLock<StdHashMap>,33554432,3,1974696586,16992196.28873152,176
parking_lot::RwLock<StdHashMap>,33554432,4,2060649519,16283425.051477665,245
parking_lot::RwLock<StdHashMap>,33554432,5,2049316520,16373474.606060365,305
parking_lot::RwLock<StdHashMap>,33554432,6,2196739455,15274652.587327432,392
parking_lot::RwLock<StdHashMap>,33554432,7,2175315998,15425084.001979562,453
parking_lot::RwLock<StdHashMap>,33554432,8,2133258412,15729192.399406321,508
DashMap,33554432,1,1691896938,19832432.60648303,50
DashMap,33554432,2,999098384,33584712.51415817,59
DashMap,33554432,3,805189624,41672707.89371225,71
DashMap,33554432,4,634984987,52842874.535551816,75
DashMap,33554432,5,569057104,58964964.61276055,84
DashMap,33554432,6,521029196,64400291.3034455,93
DashMap,33554432,7,465890815,72022093.84617294,97
DashMap,33554432,8,447138829,75042536.73303778,106
Flurry,33554432,1,3901795239,8599741.899474904,116
Flurry,33554432,2,1993049751,16835722.230799444,118
Flurry,33554432,3,1441548496,23276658.463524908,128
Flurry,33554432,4,1022106478,32828704.956119064,121
Flurry,33554432,5,871319616,38509900.826105125,129
Flurry,33554432,6,749800821,44751127.31304945,134
Flurry,33554432,7,612317503,54799073.74132338,127
Flurry,33554432,8,551914575,60796423.069639,131
Papaya,33554432,1,1904618623,17617402.032511786,56
Papaya,33554432,2,966734487,34709046.22853286,57
Papaya,33554432,3,726772339,46169109.91159777,64
Papaya,33554432,4,524073724,64026167.43288584,62
Papaya,33554432,5,456009833,73582693.99423236,67
Papaya,33554432,6,407408837,82360589.54214583,72
Papaya,33554432,7,335263797,100083672.32087395,69
Papaya,33554432,8,317332233,105739122.9462656,75
Evmap,33554432,1,5144358669,6522568.53749324,153
Evmap,33554432,2,2607041372,12870694.09806052,155
Evmap,33554432,3,2011223917,16683588.394300105,179
Evmap,33554432,4,1367557858,24536023.689024787,163
Evmap,33554432,5,1197719736,28015261.82749651,178
Evmap,33554432,6,1074909701,31216047.235208645,192
Evmap,33554432,7,860188591,39008227.20863081,179
Evmap,33554432,8,787546816,42606269.64429249,187
Contrie,33554432,1,6819385980,4920447.691098429,203
Contrie,33554432,2,3370494495,9955343.956139587,200
Contrie,33554432,3,2355004392,14248139.882025324,210
Contrie,33554432,4,1794790369,18695460.24959754,213
Contrie,33554432,5,1533642922,21878907.742254753,228
Contrie,33554432,6,1262889133,26569578.53480872,225
Contrie,33554432,7,1093693351,30679926.845417935,228
Contrie,33554432,8,991797629,33831934.07493012,236
SccMap,33554432,1,3310329547,10136281.455847453,98
SccMap,33554432,2,1714438927,19571669.466648784,102
SccMap,33554432,3,1209346854,27745912.505594525,108
SccMap,33554432,4,905547531,37054302.34340731,107
SccMap,33554432,5,766845194,43756461.2291226,114
SccMap,33554432,6,664782856,50474273.96352712,118
SccMap,33554432,7,578518640,58000606.51459736,120
SccMap,33554432,8,538699938,62287796.290780336,128
