name,total_ops,threads,spent,throughput,latency
std:sync::RwLock<BTreeMap>,33554432,1,13447359262,2495243.218110432,400
std:sync::RwLock<BTreeMap>,33554432,2,16003876664,2096644.0009800366,953
std:sync::RwLock<BTreeMap>,33554432,3,11286487638,2972973.7962966436,1009
std:sync::RwLock<BTreeMap>,33554432,4,7678066774,4370166.734369169,915
std:sync::RwLock<BTreeMap>,33554432,5,6566574741,5109883.512098747,978
std:sync::RwLock<BTreeMap>,33554432,6,6014322506,5579087.58077497,1075
std:sync::RwLock<BTreeMap>,33554432,7,5718146318,5868061.104763078,1192
std:sync::RwLock<BTreeMap>,33554432,8,5481065022,6121881.763000184,1306
parking_lot::RwLock<BTreeMap>,33554432,1,13250406961,2532332.1841178886,394
parking_lot::RwLock<BTreeMap>,33554432,2,7341941022,4570239.926942306,437
parking_lot::RwLock<BTreeMap>,33554432,3,5397685213,6216448.472983599,482
parking_lot::RwLock<BTreeMap>,33554432,4,4522200920,7419933.920140816,539
parking_lot::RwLock<BTreeMap>,33554432,5,4143642564,8097810.436527796,617
parking_lot::RwLock<BTreeMap>,33554432,6,4016349359,8354460.481583818,718
parking_lot::RwLock<BTreeMap>,33554432,7,4024022842,8338529.207583459,839
parking_lot::RwLock<BTreeMap>,33554432,8,4114458425,8155248.767643096,980
CHashMap,33554432,1,4683875766,7163817.675005346,139
CHashMap,33554432,2,3296757308,10178010.955970557,196
CHashMap,33554432,3,3689085660,9095595.790529842,329
CHashMap,33554432,4,3558250038,9430037.698772872,424
CHashMap,33554432,5,3776504261,8885050.745610692,562
CHashMap,33554432,6,3874869194,8659500.571517874,692
CHashMap,33554432,7,3963590974,8465664.65109727,826
CHashMap,33554432,8,4006501572,8374995.3411973845,955
CrossbeamSkipMap,33554432,1,55924599555,599994.1397345245,1666
CrossbeamSkipMap,33554432,2,28465632593,1178769.9391669726,1696
CrossbeamSkipMap,33554432,3,19229838846,1744914.8829959987,1719
CrossbeamSkipMap,33554432,4,14663484182,2288298.714243466,1748
CrossbeamSkipMap,33554432,5,12209168076,2748297.983214692,1819
CrossbeamSkipMap,33554432,6,10588168041,3169049.817689799,1893
CrossbeamSkipMap,33554432,7,9431263199,3557787.678278111,1967
CrossbeamSkipMap,33554432,8,8589447191,3906471.6568905907,2047
