name,total_ops,threads,spent,throughput,latency
std::sync::RwLock<StdHashMap>,33554432,1,3794878482,8842030.68929784,113
std::sync::RwLock<StdHashMap>,33554432,2,3901241882,8600961.697560284,232
std::sync::RwLock<StdHashMap>,33554432,3,3684972992,9105747.063233836,329
std::sync::RwLock<StdHashMap>,33554432,4,3942764372,8510382.268413173,470
std::sync::RwLock<StdHashMap>,33554432,5,3733541971,8987292.030096747,556
std::sync::RwLock<StdHashMap>,33554432,6,3577366461,9379646.274936102,639
std::sync::RwLock<StdHashMap>,33554432,7,3521660709,9528013.847060245,734
std::sync::RwLock<StdHashMap>,33554432,8,3139872191,10686559.821186047,748
parking_lot::RwLock<StdHashMap>,33554432,1,3825981766,8770149.481156727,114
parking_lot::RwLock<StdHashMap>,33554432,2,2817040062,11911237.064970074,167
parking_lot::RwLock<StdHashMap>,33554432,3,2887335698,11621243.772673363,258
parking_lot::RwLock<StdHashMap>,33554432,4,2900595028,11568120.222262202,345
parking_lot::RwLock<StdHashMap>,33554432,5,2979552314,11261568.337745924,443
parking_lot::RwLock<StdHashMap>,33554432,6,2732331150,12280514.38786986,488
parking_lot::RwLock<StdHashMap>,33554432,7,3333003326,10067326.287450576,695
parking_lot::RwLock<StdHashMap>,33554432,8,3078936961,10898057.487056162,734
DashMap,33554432,1,4066746696,8250927.463223542,121
DashMap,33554432,2,2173641673,15436965.722914716,129
DashMap,33554432,3,1657347778,20245860.552268468,148
DashMap,33554432,4,1216150831,27590682.95205564,144
DashMap,33554432,5,1020921446,32866810.79280609,152
DashMap,33554432,6,918998611,36511950.72372095,164
DashMap,33554432,7,743744091,45115561.126521945,155
DashMap,33554432,8,692807427,48432552.38370879,165
Flurry,33554432,1,5111811339,6564098.276475927,152
Flurry,33554432,2,2954039572,11358829.555990795,176
Flurry,33554432,3,2162426385,15517028.571587654,193
Flurry,33554432,4,1597947834,20998452.69416974,190
Flurry,33554432,5,1347720952,24897165.804394204,200
Flurry,33554432,6,1045842339,32083642.771704618,187
Flurry,33554432,7,787071431,42632003.498549044,164
Flurry,33554432,8,713698052,47014885.224879384,170
Papaya,33554432,1,3396740200,9878421.670282584,101
Papaya,33554432,2,1716442430,19548824.599960513,102
Papaya,33554432,3,1223371892,27427826.501019526,109
Papaya,33554432,4,871355463,38508316.5537002,103
Papaya,33554432,5,734238471,45699637.55004606,109
Papaya,33554432,6,645379456,51991788.223268144,115
Papaya,33554432,7,527947258,63556409.26541189,110
Papaya,33554432,8,522565866,64210914.227604754,124
Evmap,33554432,1,5349208001,6272785.054110293,159
Evmap,33554432,2,2876938298,11663243.53335158,171
Evmap,33554432,3,2172968468,15441748.232492069,194
Evmap,33554432,4,1495593516,22435529.200301774,178
Evmap,33554432,5,1278815039,26238690.488218445,190
Evmap,33554432,6,1170399417,28669214.554128576,209
Evmap,33554432,7,924461338,36296198.25161363,192
Evmap,33554432,8,842212715,39840804.35071561,200
Contrie,33554432,1,10772281966,3114886.1593027487,321
Contrie,33554432,2,5321622027,6305301.622279233,317
Contrie,33554432,3,3603045809,9312796.389150765,322
Contrie,33554432,4,2617190903,12820781.228277102,311
Contrie,33554432,5,2215581581,15144751.286863131,330
Contrie,33554432,6,1851074056,18127006.799775492,330
Contrie,33554432,7,1582739560,21200223.238243945,330
Contrie,33554432,8,1411426154,23773423.71395507,336
SccMap,33554432,1,4514116772,7433221.977803103,134
SccMap,33554432,2,2235507754,15009758.718108209,133
SccMap,33554432,3,1594703538,21041172.35613733,142
SccMap,33554432,4,1148015571,29228202.863809414,136
SccMap,33554432,5,968672120,34639617.789350644,144
SccMap,33554432,6,845536653,39684183.8623405,151
SccMap,33554432,7,711517288,47158983.43709675,148
SccMap,33554432,8,635848752,52771090.44321911,151
